2023-10-11T12:32:17.740 [Debug  ] <> 该编号板卡不存在! 0 0
2023-10-11T12:32:17.741 [Debug  ] <> LVDS channel num: 0
2023-10-11T12:32:17.741 [Debug  ] <> 该编号板卡不存在! 0 1
2023-10-11T12:32:17.741 [Debug  ] <> RS422 channel num: 1
2023-10-11T12:32:17.741 [Debug  ] <> 该编号板卡不存在! 0 2
2023-10-11T12:32:17.741 [Debug  ] <> CAN channel num: 2
2023-10-11T12:32:18.405 [Debug  ] <> RunErrorMsg: "采集卡编号不正确或采集卡个数不正确!"
2023-10-11T12:32:18.405 [Debug  ] <> RunErrorMsg: "采集卡编号不正确或采集卡个数不正确!"
2023-10-11T12:32:18.406 [Debug  ] <> RunErrorMsg: "采集卡编号不正确或采集卡个数不正确!"
2023-10-11T12:32:18.406 [Debug  ] <> RunErrorMsg: "未初始化!"
2023-10-11T12:32:18.406 [Debug  ] <> RunErrorMsg: "未初始化!"
2023-10-11T12:32:18.406 [Debug  ] <> RunErrorMsg: "未初始化!"
2023-10-11T12:32:49.798 [Debug  ] <> on_pb_parse_data_clicked!!!
2023-10-11T12:32:49.800 [Debug  ] <> processLVDSData: QThread(0x5293b80, name = "Thread (pooled)")
2023-10-11T12:32:49.800 [Debug  ] <> "bin"
2023-10-11T12:32:49.801 [Debug  ] <> 6144
2023-10-11T12:33:01.237 [Debug  ] <> on_pb_parse_data_clicked!!!
2023-10-11T12:33:01.237 [Debug  ] <> processLVDSData: QThread(0x5293b80, name = "Thread (pooled)")
2023-10-11T12:33:01.237 [Debug  ] <> "bin"
2023-10-11T12:33:01.251 [Debug  ] <> 6122
2023-10-11T12:33:06.329 [Debug  ] <> on_pb_parse_data_clicked!!!
2023-10-11T12:33:06.329 [Debug  ] <> processLVDSData: QThread(0x5293b80, name = "Thread (pooled)")
2023-10-11T12:33:06.329 [Debug  ] <> "bin"
2023-10-11T12:33:06.342 [Debug  ] <> 2048
2023-10-11T12:33:06.343 [Debug  ] <> LVDS数据CRC错误! clc: 43690 lvds: 22034
2023-10-11T12:33:06.343 [Debug  ] <> 源包序列计数: 0 packLength: 2035 时间码: 77020.4
2023-10-11T12:33:06.343 [Debug  ] <> 跟踪数据包!
2023-10-11T12:33:06.345 [Debug  ] <> "32768,32768,0,0,32768,32768,0,0,76,977,32768,32768,0,0,32768,32768,0,0,77,2,32768,32768,0,0,32768,32768,0,0,77,27,32768,32768,0,0,32768,32768,0,0,77,52,32768,32768,0,0,32768,32768,0,0,77,77,32768,32768,0,0,32768,32768,0,0,77,102,32768,32768,0,0,32768,32768,0,0,77,127,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,32768,32768,0,0,32768,32768,0,0,76,977,32768,32768,0,0,32768,32768,0,0,77,2,32768,32768,0,0,32768,32768,0,0,77,27,32768,32768,0,0,32768,32768,0,0,77,52,32768,32768,0,0,32768,32768,0,0,77,77,32768,32768,0,0,32768,32768,0,0,77,102,32768,32768,0,0,32768,32768,0,0,77,127,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,43690,0,0,0,0,31513,54368,6691,5120,43122,11014,51247,38656,55323,9478,39147,43520,512,2,6435,5120,2289,8710,49152,43520,57881,54776,14115,5128,0,0,50838,29523,35373,46667,39928,12042,36394,15071,1024,0,50143,54159,20985,11081,33151,27074,59097,42416,2304,0,14540,23227,5874,60492,42693,24430,29591,25513,3328,0,40271,15388,19128,32070,38035,14031,48473,59991,4608,0,12121,24228,30864,31818,44469,20188,20438,6943,6656,0,10465,41560,47405,22350,47892,20855,35102,54065,7680,0,36463,26861,8040,35660,48449,43181,56310,46076,9728,0,35499,13425,20883,44356,44898,17549,46773,748,10752,0,10352,121,36134,54853,41922,13646,27216,19401,12032,0,41558,25906,757,21571,40128,36415,18666,63157,13568,0,5129,43855,10721,34624,41425,48257,11589,42933,14848,0,26125,4118,28805,47435,47405,64932,45630,52839,15872,0,35926,4096,21000,27214,45457,23603,44123,1072,18176,0,23856,40819,56193,52035,44126,21761,16121,61443,21248,0,34082,41756,52636,34375,35800,31059,40374,40966,25088,0,59854,15652,903,60992,36592,8870,184,1420,26624,0,13961,36182,43456,9033,36957,57131,14371,36796,27904,0,61756,14370,6125,11854,44823,55387,36715,12496,30464,0,24522,15491,47068,5701,32879,26006,43814,56548,32256,0,735,59491,27883,27717,41508,45662,31055,54856,34048,0,30118,2171,43665,6984,42904,19881,18696,24891,35840,0,7683,22242,39266,10569,47501,23240,33967,47762,38656,0,34480,11197,21069,56648,38519,56136,16005,44687,40704,0,55498,9514,60382,26956,42888,3778,9837,51965,43008,0,49725,1070,26569,1358,34654,24971,63102,34243,44800,0,57568,46788,46287,54090,43827,39597,9045,41802,47616,0,13151,3618,54191,20039,40241,32079,59184,62807,48640,0,53005,15863,50894,34127,39694,7225,22193,48887,51712,0,1920,36998,64749,24648,36171,20198,59454,24664,54272,0,42293,2544,23837,53580,33202,37668,55276,42881,55552,0,28981,19937,18283,59981,46602,34766,2680,57271,56832,0,10695,48834,26635,30539,43534,25237,42668,6164,58112,0,23397,45981,16936,45892,32871,4841,45941,21866,59392,0,55938,39621,29915,42056,48490,46748,18737,61333,60672,0,43849,17387,34230,3909,37301,59394,59538,21356,61952,0,14077,5569,28620,16206,33635,21067,34758,45273,63232,0,11694,107,19426,2630,39094,34699,53296,29437,64512,0,838,1610,13196,24654,39977,4962,12656,11528,1025,0,57843,32385,34834,62533,43090,9741,40572,52867,3585,0,35469,35670,25886,35907,35176,54798,4114,48825,5633,0,42749,50285,59000,577,44597,48378,7900,51083,6913,0,60933,49475,15289,47946,45059,41100,3463,1137,8193,0,32472,61706,65276,34881,48619,42896,25713,52195,9217,0,62714,31771,16241,15431,48077,24887,16991,44719,10241,0,50272,43171,36659,5964,37274,64420,46434,36641,11265,0,24563,17412,31832,28741,38470,25820,55537,30067,12289,0,43685,58393,25174,50511,41152,5976,654,4183,13313,0,12492,15126,59874,2895,38429,41961,64951,34979,14593,0,342,35359,19837,48460,40066,7112,54510,47525,15617,0,43644,41815,31286,16453,37227,61827,50441,14923,17665,0,38347,26521,34094,51274,36002,33751,52436,9673,18689,0,3437,65523,49208,50241,45566,7992,9457,31620,19969,0,8485,59105,34663,23360,41785,20487,5557,30271,21249,0,58032,38112,62055,45893,45290,4435,14282,31987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14873,54560,44579,5132,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61519,32631,0,0,0,0,32794,43520,43223,8710,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
